# kind: sample
# source: Claude-03 §3.2 / TASK-QMDG-001 classical 24×3 so_cuc table (Yên Ba / Kỳ Môn tradition)
# scope: harness proof only — NOT a kinqimen dump; full certification needs oracle/kinqimen/full/
# note: full 24-term × 3-nguyen chaibu grid transcribed row-by-row from the Claude-03 §3.2
#       table (docs/Claude/Markdown/Tam-Thuc-03-Ky-Mon-Don-Giap.md, lines 78–91).
#       duong_don per Claude-03 §3.1: duong from Dong Chi..Mang Chung (idx 21..23,0..8),
#       am from Ha Chi..Dai Tuyet (idx 9..20). branch→nguyen per Claude-03 §3.3 phu dau:
#       branch 0 (Ty) = thuong, branch 2 (Dan) = trung, branch 4 (Thin) = ha.
term_index,branch_index,method,tri_nhuan,so_cuc,duong_don,nguyen,cite_note
0,0,chaibu,0,8,1,1,Lap Xuan thuong = 8 duong (Claude-03 s3.2)
0,2,chaibu,0,5,1,2,Lap Xuan trung = 5 duong (Claude-03 s3.2)
0,4,chaibu,0,2,1,3,Lap Xuan ha = 2 duong (Claude-03 s3.2)
1,0,chaibu,0,9,1,1,Vu Thuy thuong = 9 duong (Claude-03 s3.2)
1,2,chaibu,0,6,1,2,Vu Thuy trung = 6 duong (Claude-03 s3.2)
1,4,chaibu,0,3,1,3,Vu Thuy ha = 3 duong (Claude-03 s3.2)
2,0,chaibu,0,1,1,1,Kinh Trap thuong = 1 duong (Claude-03 s3.2)
2,2,chaibu,0,7,1,2,Kinh Trap trung = 7 duong (Claude-03 s3.2)
2,4,chaibu,0,4,1,3,Kinh Trap ha = 4 duong (Claude-03 s3.2)
3,0,chaibu,0,3,1,1,Xuan Phan thuong = 3 duong (Claude-03 s3.2)
3,2,chaibu,0,9,1,2,Xuan Phan trung = 9 duong (Claude-03 s3.2)
3,4,chaibu,0,6,1,3,Xuan Phan ha = 6 duong (Claude-03 s3.2)
4,0,chaibu,0,4,1,1,Thanh Minh thuong = 4 duong (Claude-03 s3.2)
4,2,chaibu,0,1,1,2,Thanh Minh trung = 1 duong (Claude-03 s3.2)
4,4,chaibu,0,7,1,3,Thanh Minh ha = 7 duong (Claude-03 s3.2)
5,0,chaibu,0,5,1,1,Coc Vu thuong = 5 duong (Claude-03 s3.2)
5,2,chaibu,0,2,1,2,Coc Vu trung = 2 duong (Claude-03 s3.2)
5,4,chaibu,0,8,1,3,Coc Vu ha = 8 duong (Claude-03 s3.2)
6,0,chaibu,0,4,1,1,Lap Ha thuong = 4 duong (Claude-03 s3.2)
6,2,chaibu,0,1,1,2,Lap Ha trung = 1 duong (Claude-03 s3.2)
6,4,chaibu,0,7,1,3,Lap Ha ha = 7 duong (Claude-03 s3.2)
7,0,chaibu,0,5,1,1,Tieu Man thuong = 5 duong (Claude-03 s3.2)
7,2,chaibu,0,2,1,2,Tieu Man trung = 2 duong (Claude-03 s3.2)
7,4,chaibu,0,8,1,3,Tieu Man ha = 8 duong (Claude-03 s3.2)
8,0,chaibu,0,6,1,1,Mang Chung thuong = 6 duong (Claude-03 s3.2)
8,2,chaibu,0,3,1,2,Mang Chung trung = 3 duong (Claude-03 s3.2)
8,4,chaibu,0,9,1,3,Mang Chung ha = 9 duong (Claude-03 s3.2)
9,0,chaibu,0,9,0,1,Ha Chi thuong = 9 am (Claude-03 s3.2 / TASK-QMDG-001 AC)
9,2,chaibu,0,3,0,2,Ha Chi trung = 3 am (Claude-03 s3.2)
9,4,chaibu,0,6,0,3,Ha Chi ha = 6 am (Claude-03 s3.2)
10,0,chaibu,0,8,0,1,Tieu Thu thuong = 8 am (Claude-03 s3.2)
10,2,chaibu,0,2,0,2,Tieu Thu trung = 2 am (Claude-03 s3.2)
10,4,chaibu,0,5,0,3,Tieu Thu ha = 5 am (Claude-03 s3.2)
11,0,chaibu,0,7,0,1,Dai Thu thuong = 7 am (Claude-03 s3.2)
11,2,chaibu,0,1,0,2,Dai Thu trung = 1 am (Claude-03 s3.2)
11,4,chaibu,0,4,0,3,Dai Thu ha = 4 am (Claude-03 s3.2)
12,0,chaibu,0,2,0,1,Lap Thu thuong = 2 am (Claude-03 s3.2)
12,2,chaibu,0,5,0,2,Lap Thu trung = 5 am (Claude-03 s3.2)
12,4,chaibu,0,8,0,3,Lap Thu ha = 8 am (Claude-03 s3.2)
13,0,chaibu,0,1,0,1,Xu Thu thuong = 1 am (Claude-03 s3.2)
13,2,chaibu,0,4,0,2,Xu Thu trung = 4 am (Claude-03 s3.2)
13,4,chaibu,0,7,0,3,Xu Thu ha = 7 am (Claude-03 s3.2)
14,0,chaibu,0,9,0,1,Bach Lo thuong = 9 am (Claude-03 s3.2)
14,2,chaibu,0,3,0,2,Bach Lo trung = 3 am (Claude-03 s3.2)
14,4,chaibu,0,6,0,3,Bach Lo ha = 6 am (Claude-03 s3.2)
15,0,chaibu,0,7,0,1,Thu Phan thuong = 7 am (Claude-03 s3.2)
15,2,chaibu,0,1,0,2,Thu Phan trung = 1 am (Claude-03 s3.2)
15,4,chaibu,0,4,0,3,Thu Phan ha = 4 am (Claude-03 s3.2)
16,0,chaibu,0,6,0,1,Han Lo thuong = 6 am (Claude-03 s3.2)
16,2,chaibu,0,9,0,2,Han Lo trung = 9 am (Claude-03 s3.2)
16,4,chaibu,0,3,0,3,Han Lo ha = 3 am (Claude-03 s3.2)
17,0,chaibu,0,5,0,1,Suong Giang thuong = 5 am (Claude-03 s3.2)
17,2,chaibu,0,8,0,2,Suong Giang trung = 8 am (Claude-03 s3.2)
17,4,chaibu,0,2,0,3,Suong Giang ha = 2 am (Claude-03 s3.2)
18,0,chaibu,0,6,0,1,Lap Dong thuong = 6 am (Claude-03 s3.2)
18,2,chaibu,0,9,0,2,Lap Dong trung = 9 am (Claude-03 s3.2)
18,4,chaibu,0,3,0,3,Lap Dong ha = 3 am (Claude-03 s3.2)
19,0,chaibu,0,5,0,1,Tieu Tuyet thuong = 5 am (Claude-03 s3.2)
19,2,chaibu,0,8,0,2,Tieu Tuyet trung = 8 am (Claude-03 s3.2)
19,4,chaibu,0,2,0,3,Tieu Tuyet ha = 2 am (Claude-03 s3.2)
20,0,chaibu,0,4,0,1,Dai Tuyet thuong = 4 am (Claude-03 s3.2)
20,2,chaibu,0,7,0,2,Dai Tuyet trung = 7 am (Claude-03 s3.2)
20,4,chaibu,0,1,0,3,Dai Tuyet ha = 1 am (Claude-03 s3.2)
21,0,chaibu,0,1,1,1,Dong Chi thuong = 1 duong (Claude-03 s3.2 / TASK-QMDG-001 AC)
21,2,chaibu,0,7,1,2,Dong Chi trung = 7 duong (Claude-03 s3.2)
21,4,chaibu,0,4,1,3,Dong Chi ha = 4 duong (Claude-03 s3.2)
22,0,chaibu,0,2,1,1,Tieu Han thuong = 2 duong (Claude-03 s3.2)
22,2,chaibu,0,8,1,2,Tieu Han trung = 8 duong (Claude-03 s3.2)
22,4,chaibu,0,5,1,3,Tieu Han ha = 5 duong (Claude-03 s3.2)
23,0,chaibu,0,3,1,1,Dai Han thuong = 3 duong (Claude-03 s3.2)
23,2,chaibu,0,9,1,2,Dai Han trung = 9 duong (Claude-03 s3.2)
23,4,chaibu,0,6,1,3,Dai Han ha = 6 duong (Claude-03 s3.2)
